name,ftype,tier,lat,lon
Okoloba Sabagreia Cottage Hospital,Cottage Hospital,Tier3 provincial hospital,5.046948,6.242627
Okolobori General Hospital,General Hospital,Tier3 provincial hospital,5.032897,6.316948
Okoroba Cottage Hospital,Cottage Hospital,Tier3 provincial hospital,4.631549,6.42469
Okpoama Cottage Hospital,Cottage Hospital,Tier3 provincial hospital,4.30321,6.29251
Opokuma Cottage Hospital,Cottage Hospital,Tier3 provincial hospital,5.07242,6.27473
Otuabagi Cott Hospital,Cottage Hospital,Tier3 provincial hospital,4.70912,6.364
Otuasega Cottage Hospital,Cottage Hospital,Tier3 provincial hospital,4.917966,6.405385
Peremabiri Cottage Hospital,Cottage Hospital,Tier3 provincial hospital,4.639036,6.081029
Peretorugbene Cottage Hospital,Cottage Hospital,Tier3 provincial hospital,4.97464,5.64457
Sagbama General Hospital,General Hospital,Tier3 provincial hospital,5.155056,6.194964
Sangana Cottage Hospital,Cottage Hospital,Tier3 provincial hospital,4.32253,5.98279
Tamgbene Cottage Hospital,Cottage Hospital,Tier3 provincial hospital,4.975,5.74787
Ukubie Cottage Hospital,Cottage Hospital,Tier3 provincial hospital,4.689102,5.834593
Abenga Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,6.79085,9.27067
Adikpo General Hospital,General Hospital,Tier3 provincial hospital,6.88237,9.25064
Adikpo Mbaagwa Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,7.08791,9.08
Adogo Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,7.46344,9.6786
Adom Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,6.876099,9.361197
Adum-East Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,6.96488,8.36551
Agaku Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,7.00497,8.713834
Agbanyi Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,7.23333,8.55
Ageede Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,7.2008,8.5306
Agena Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,7.51435,9.79337
Ageva Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,6.699761,9.054177
Agura Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,6.950511,9.507541
