name,ftype,tier,lat,lon
Ikwehwu Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,5.6167,5.8666
Isheagu Government Hospital,Hospital,Tier3 provincial hospital,6.0388340000000005,6.546744
Isiokolo General Hospital,General Hospital,Tier3 provincial hospital,5.600759,6.002399
Issele-Uku General Hospital,General Hospital,Tier3 provincial hospital,6.334258,6.480625
Kiagbodo Government Hospital,Hospital,Tier3 provincial hospital,5.2432,5.835956
Koko General Hospital,General Hospital,Tier3 provincial hospital,5.998685,5.445392
Kwale General Hospital,General Hospital,Tier3 provincial hospital,5.7167,6.4499
Madagho General Hospital,General Hospital,Tier3 provincial hospital,5.6026,5.2142
Mosogar Cottage Hospital,Cottage Hospital,Tier3 provincial hospital,5.903606,5.731666
Ndemili Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,6.020283,6.283246
Obiaruku General Hospital,General Hospital,Tier3 provincial hospital,5.830425,6.144855
Ofagbe Government Hospital,Hospital,Tier3 provincial hospital,5.556252,6.344362
Oghara General Hospital,General Hospital,Tier3 provincial hospital,5.938517,5.679535
Ogriagbene Cottage Hospital,Cottage Hospital,Tier3 provincial hospital,5.1667,5.6832
Ogualagha General Hospital,General Hospital,Tier3 provincial hospital,5.35699,5.35258
Ogwashi-Uku General Hospital,General Hospital,Tier3 provincial hospital,6.185946,6.515703
Ojobo Government Hospital,Hospital,Tier3 provincial hospital,5.03173,5.66683
Okpanam Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,6.233615,6.642639
