Facility name,Facility type,Ownership,Admin1,Lat,Long
Ngong Sub-District Hospital,Sub-District Hospital,MoH,Kajiado,-1.3652,36.6542
Sucos Hospital,Hospital,NGO,Kajiado,-1.5938822,36.9082484
Ahmadiya Hospital,Mission Hospital,FBO,Kakamega,0.3141,34.5757
Butere District Hospital,District Hospital,MoH,Kakamega,0.2202425,34.4991521
Iguhu District Hospital,District Hospital,MoH,Kakamega,0.1661,34.7451
Jumia Hospital,Mission Hospital,FBO,Kakamega,0.2617124,34.7495909
Kakamega Provincial General Hospital,Provincial General Hospital,MoH,Kakamega,0.275,34.7588
Likuyani Sub-District Hospital,Sub-District Hospital,MoH,Kakamega,0.7108,35.1069
Lumakanda Sub County Hospital,Sub-District Hospital,MoH,Kakamega,0.6348,34.9762
Malava District Hospital,District Hospital,MoH,Kakamega,0.4487,34.8539
Manyala Sub-District Hospital,Sub-District Hospital,MoH,Kakamega,0.1604,34.4526
Matunda Sub-District Hospital,Sub-District Hospital,MoH,Kakamega,0.8257,35.11558
Matungu Sub-District Hospital,Sub-District Hospital,MoH,Kakamega,0.3872,34.4763
Mautuma Sub County Hospital,Sub-District Hospital,MoH,Kakamega,0.7248,34.9817
Mukumu Hospital,Mission Hospital,FBO,Kakamega,0.2158,34.7684
Mumias St Mary's Hospital,Mission Hospital,FBO,Kakamega,0.3268,34.499
Mwihila Mission Hospital,Mission Hospital,FBO,Kakamega,0.1783022,34.6124
Navakholo Sub-District Hospital,Sub-District Hospital,MoH,Kakamega,0.4139,34.6826
Shibwe Sub-District Hospital,Sub-District Hospital,MoH,Kakamega,0.2058,34.7231
Forttenan Sub District Hospital,Sub-District Hospital,MoH,Kericho,-0.14054,35.344096
Kapkatet District Hospital,District Hospital,MoH,Kericho,-0.6297518,35.1962267
Kericho District Hospital,District Hospital,MoH,Kericho,-0.369,35.2794
Kipchimchim Mission Hospital,Mission Hospital,FBO,Kericho,-0.3291,35.2682
Kipkelion Sub District Hospital,Sub-District Hospital,MoH,Kericho,-0.1897304,35.4583884
Litein AIC Mission Hospital,Mission Hospital,FBO,Kericho,-0.5815517,35.1884928
Londiani District Hospital,District Hospital,MoH,Kericho,-0.1663,35.5924
Roret Sub-District Hospital,Sub-District Hospital,MoH,Kericho,-0.5005169,35.0994415
Sigowet Sub-District Hospital,District Hospital,MoH,Kericho,-0.3982,35.0497
Caritas community Hospital,Hospital,CBO,Kiambu,-1.0689668,37.1697503
Cure AIC International Hospital,Mission Hospital,FBO,Kiambu,-0.9468,36.5944
Gatundu District Hospital,District Hospital,MoH,Kiambu,-1.0157,36.9058
Githunguri Holy Family Mission Hospital,Mission Hospital,FBO,Kiambu,-1.0587,36.774
Igegania Sub-District Hospital,Sub-District Hospital,MoH,Kiambu,-0.9738716,36.9280179
Immaculate Heart of Mary Hospital,Mission Hospital,FBO,Kiambu,-1.06969,37.234
Kalimoni Hospital,Mission Hospital,FBO,Kiambu,-1.1441533,36.9559196
Kereita Immaculate Heart Hospital,Mission Hospital,FBO,Kiambu,-0.993232,36.65527
Kiambu District Hospital,District Hospital,MoH,Kiambu,-1.1694,36.8299
Kihara Sub-District Hospital,Sub-District Hospital,MoH,Kiambu,-1.2147289,36.7660313
Kijabe AIC Hospital,Mission Hospital,FBO,Kiambu,-0.9435,36.5943
Kikuyu PCEA Hospital,Mission Hospital,FBO,Kiambu,-1.245,36.6652
Kilimambogo Mission Hospital,Mission Hospital,FBO,Kiambu,-1.06235,37.23774
Mary Help of The Sick Hospital,Mission Hospital,FBO,Kiambu,-1.0400231,37.0903422
Nazareth Hospital,Mission Hospital,FBO,Kiambu,-1.14729,36.94985
Nazareth Hospital Limuru,Mission Hospital,FBO,Kiambu,-1.13613,36.7255
Neema Hospital,Mission Hospital,FBO,Kiambu,-1.1892935,36.9328632
Nyathuna Sub District Hospital,Sub-District Hospital,MoH,Kiambu,-1.1860652,36.684316
Oaklands Mission Hospital,Mission Hospital,FBO,Kiambu,-1.12736,36.97206
Oasis Mission Hospital,Mission Hospital,FBO,Kiambu,-1.2323,36.738
Ruiru Sub-District Hospital,Sub-District Hospital,MoH,Kiambu,-1.144374,36.9553884
St Mulumba Mission Hospital,Mission Hospital,FBO,Kiambu,-1.0549393,37.101537
Thika Level 5 Hospital,Provincial General Hospital,MoH,Kiambu,-1.0415,37.0763
Tigoni District Hospital,District Hospital,MoH,Kiambu,-1.1265,36.6722
Bamba Sub-District Hospital,Sub-District Hospital,MoH,Kilifi,-3.5454,39.5237
