Facility name,Facility type,Ownership,Admin1,Lat,Long
Olkalou Sub-District Hospital,Sub-District Hospital,MoH,Nyandarua,-0.2751,36.3776
Consolata Mission Hospital,Mission Hospital,FBO,Nyeri,-0.41383,36.9197
Karatina District Hospital,District Hospital,MoH,Nyeri,-0.4758,37.1302
Mary Immaculate Hospital,Mission Hospital,FBO,Nyeri,-0.3305,36.9045
Mt Kenya Sub-District Hospital,Sub-District Hospital,MoH,Nyeri,-0.4241,36.9341
Mukurweini District Hospital,District Hospital,MoH,Nyeri,-0.5592,37.0446
Nyeri Provincial General Hospital,Provincial General Hospital,MoH,Nyeri,-0.424,36.9611
Othaya Sub-District Hospital,Sub-District Hospital,MoH,Nyeri,-0.5399,36.94
Tumutumu PCEA Hospital,Mission Hospital,FBO,Nyeri,-0.4855,37.0795
Baragoi Sub-District Hospital,Sub-District Hospital,MoH,Samburu,1.7826,36.7881
Maralal District Hospital,District Hospital,MoH,Samburu,1.0963,36.6993
Wamba Catholic Hospital,Mission Hospital,FBO,Samburu,0.9782,37.3239
Ambira Sub-District Hospital,Sub-District Hospital,MoH,Siaya,0.1769,34.2727
Bondo District Hospital,District Hospital,MoH,Siaya,-0.0902,34.2745
Got Agulu Sub-District Hospital,Sub-District Hospital,MoH,Siaya,-0.0378813,34.0310161
Madiany Sub County Hospital,Sub-District Hospital,MoH,Siaya,-0.2813,34.3224
Sega Cottage Hospital,Hospital,MoH,Siaya,0.2593,34.2255
Siaya District Hospital,District Hospital,MoH,Siaya,0.0631,34.2839
Ukwala Sub County Hospital,Sub-District Hospital,MoH,Siaya,0.193,34.1883
Yala Sub-District Hospital,Sub-District Hospital,MoH,Siaya,0.10102,34.5375
Mwatate Sub-District Hospital,Sub-District Hospital,MoH,Taita Taveta,-3.5073,38.3686
Taveta District Hospital,District Hospital,MoH,Taita Taveta,-3.3987,37.6773
Voi Moi District Hospital,District Hospital,MoH,Taita Taveta,-3.3909,38.5621
Wesu District Hospital,District Hospital,MoH,Taita Taveta,-3.4087,38.3422
Wundanyi Sub-District Hospital,Sub-District Hospital,MoH,Taita Taveta,-3.4028,38.36303
Bura District Hospital,District Hospital,MoH,Tana River,-1.1944883,39.839929
Hola District Hospital,District Hospital,MoH,Tana River,-1.4988,40.0303
Ngao District Hospital,District Hospital,MoH,Tana River,-2.4122,40.2011
Chogoria PCEA Hospital,Mission Hospital,FBO,Tharaka Nithi,-0.2305,37.6279
Chuka Cottage Hospital,Mission Hospital,FBO,Tharaka Nithi,-0.33657,37.64737
Chuka District Hospital,District Hospital,MoH,Tharaka Nithi,-0.3356,37.6458
Kibunga Sub-District Hospital,Sub-District Hospital,MoH,Tharaka Nithi,-0.0765,37.90707
Magutuni District Hospital,District Hospital,MoH,Tharaka Nithi,-0.2306,37.7361
St Orsola Mission Hospital,Mission Hospital,FBO,Tharaka Nithi,-0.316208,37.8992375
Tharaka District Hospital,District Hospital,MoH,Tharaka Nithi,-0.158184,37.975253
Endebess District Hospital,District Hospital,MoH,Trans Nzoia,1.0734,34.8569
Kapsara District Hospital,District Hospital,MoH,Trans Nzoia,1.0919,35.155
Kiminini Cottage Hospital,Mission Hospital,FBO,Trans Nzoia,0.8931,34.9241
Kitale District Hospital,District Hospital,MoH,Trans Nzoia,1.017,35.0037
Kwanza Sub County Hospital,Sub-District Hospital,MoH,Trans Nzoia,1.1629,34.9992
Saboti Sub-District Hospital,Sub-District Hospital,MoH,Trans Nzoia,0.93754,34.8375
Matunda sub county Hospital,Sub-District Hospital,MoH,Transzoia,0.8257361,35.1146699
Kakuma IRC  Hospital,Hospital,NGO,Turkana,3.73543,34.83956
Kakuma Mission Hospital,Mission Hospital,FBO,Turkana,3.7076,34.8651
Kakuma Sub County Hospital,Sub-District Hospital,MoH,Turkana,3.7114577,34.8612949
Kapedo Sub-District Hospital,Sub-District Hospital,MoH,Turkana,1.187,36.1047
Katilu District Hospital,District Hospital,MoH,Turkana,2.27425,35.429706
Lodwar District Hospital,District Hospital,MoH,Turkana,3.1192,35.6013
Lokichar Sub County Hospital,Sub-District Hospital,MoH,Turkana,2.372853,35.64215
Lokitaung Sub County Hospital,Sub-District Hospital,MoH,Turkana,4.2623,35.7543
Lopiding Sub-District Hospital,Sub-District Hospital,MoH,Turkana,4.2022145,34.382818
Lorugum Sub County Hospital,Sub-District Hospital,MoH,Turkana,2.893825,35.264752
Huruma District Hospital,District Hospital,MoH,Uasin Gishu,0.5295,35.2471
Moi Teaching Referral Hospital,National Referral Hospital,MoH,Uasin Gishu,0.5111929,35.2803433
Plateau Hospital,Mission Hospital,FBO,Uasin Gishu,0.4025,35.4229
Trinity Mission Hospital,Mission Hospital,FBO,Uasin Gishu,0.5698,35.1566
Uasin Gishu District Hospital,District Hospital,MoH,Uasin Gishu,0.5206,35.2648
Ziwa Sub-District Hospital,Sub-District Hospital,MoH,Uasin Gishu,0.849,35.2566
Emuhaya Sub County Referral Hospital,Sub-District Hospital,MoH,Vihiga,0.1126,34.633
Hamisi Sub District Hospital,Sub-District Hospital,MoH,Vihiga,0.0735,34.8021
Kaimosi Mission Hospital,Mission Hospital,FBO,Vihiga,0.1318,34.8483
Kima Mission Hospital,Mission Hospital,FBO,Vihiga,0.04,34.64
Mung'oma Hospital,Hospital,NGO,Vihiga,0.080836,34.721575
Vihiga District Hosptial,District Hospital,MoH,Vihiga,0.07981,34.72208
Abakore Sub District Hospital,Sub-District Hospital,MoH,Wajir,0.6331,39.7132
Buna Sub-District Hospital,Sub-District Hospital,MoH,Wajir,2.7942,39.4959
Bute District Hospital,District Hospital,MoH,Wajir,3.3738,39.4226
Dadajabula Sub District Hospital,Sub-District Hospital,MoH,Wajir,0.5385,40.8752
Griftu District Hospital,District Hospital,MoH,Wajir,1.9998,39.7542
Habaswein District Hospital,District Hospital,MoH,Wajir,1.0184,39.4939
Khorof Harar Sub-District Hospital,Sub-District Hospital,MoH,Wajir,2.2076,40.7548
Leheley Sub District Hospital,Sub-District Hospital,MoH,Wajir,1.6282,40.007
Wajir County Referral Hospital,County Referral Hospital,MoH,Wajir,1.7476,40.0623
Chepareria Sub District Hospital,Sub-District Hospital,MoH,West Pokot,1.30047,35.19926
Kacheliba District Hospital,District Hospital,MoH,West Pokot,1.49008,35.01068
Kapenguria District Hospital,District Hospital,MoH,West Pokot,1.2401,35.1184
Ortum Mission Hospital,Mission Hospital,FBO,West Pokot,1.4368,35.3595
Sigor Sub District Hospital,Sub-District Hospital,MoH,West Pokot,1.4858,35.4686
