shapeName,region,pop
Techiman North,Bono East,50927.55287161038
Cape Coast Metropolitan,Central,0.0
Komenda-edina-eguafo-abirem Municipal,Central,402178.6937371284
Banda,Bono,36910.07471001587
Sefwi-wiawso,Western North,218375.3757606906
Jaman North,Bono,124573.24121386888
Asunafo South,Ahafo,74510.22401433786
Tain,Bono,123669.93385565815
Nkoranza South,Bono East,80812.19867423916
Sekyere Kumawu,Ashanti,72196.65859982414
Bole,Savannah,91827.41372363041
Sekyere Afram Plains North,Ashanti,49077.30141837707
Asante Akim North,Ashanti,82234.0545910198
Asante Akim Central Municipal,Ashanti,49904.84437880375
Kintampo North Municipal,Bono East,120252.802783716
Asokore Mampong Municipal,Ashanti,0.0
Atebubu Amantin,Bono East,152684.8531732771
Kwadaso Municipal,Ashanti,0.0
Kpandai,Northern,90721.07128554134
Ejisu Municipal,Ashanti,0.0
Nkwanta North,Oti,51628.07368890158
Biakoye,Oti,114723.68366187799
Wassa Amenfi East,Western,42393.18322779684
Central Gonja,Savannah,98958.07065266042
Tema West Municipal,Greater Accra,0.0
Ashaiman Municipal,Greater Accra,0.0
Pru East,Bono East,113630.8024879784
Kpone Katamanso,Greater Accra,391760.81283935084
Savelugu,Northern,189135.99127698696
Tamale Metropolitan,Northern,61110.75824211305
Sagnerigu,Northern,404575.72138520435
Karaga,Northern,155192.84255092454
North East Gonja,Savannah,226902.67274813703
South Dayi,Volta,79629.51240109956
Tempane,Upper East,74616.76907011832
Bolga  East,Upper East,0.0
Yunyoo-nasuan,North East,62837.74494597583
Nanton,Northern,52259.35702726538
Assin Fosu,Central,67996.22700761228
Gomoa Central,Central,0.0
Pru West,Bono East,61041.69662651045
Berekum West,Bono,56964.61577721438
Ahafo Ano South West,Ashanti,68832.37264948321
Amansie South,Ashanti,0.0
Atwima Nwabiagya North,Ashanti,0.0
Adansi Akrofuom,Ashanti,134157.3177316182
Adansi North,Ashanti,55079.67745185267
Obuasi East,Ashanti,0.0
Afigya Kwabre North,Ashanti,0.0
Kumasi Metropolitan,Ashanti,0.0
Oforikrom Municipal,Ashanti,0.0
Asokwa  Municipal,Ashanti,0.0
Old Tafo Municipal,Ashanti,0.0
Suame Municipal,Ashanti,0.0
Juaben Municipal,Ashanti,51611.79499256804
Ablekuma Central Municipal,Greater Accra,0.0
Korle Klottey Municipal,Greater Accra,0.0
Ablekuma North Municipal,Greater Accra,0.0
Ayawaso North Municipal,Greater Accra,3867518.014779722
Ayawaso East Municipal,Greater Accra,0.0
Okaikwei North Municipal,Greater Accra,0.0
Ga North Municipal,Greater Accra,0.0
