name,type,state,lat,lon
NITTE,CHC,KARNATAKA,13.185399999906986,74.93679999930484
THAYAMAGONDALU,CHC,KARNATAKA,13.216000000529156,77.30109999946173
VELLIYUR,CHC,TAMILNADU,13.218092199809256,80.01195870039133
SHIRUVA,CHC,KARNATAKA,13.220399999863004,74.81989999996722
KALASA,CHC,KARNATAKA,13.23429999996996,75.35610000029642
ATHIMANJEERIPET,CHC,TAMILNADU,13.246208700193687,79.43793320005317
POONIMANGADU,CHC,TAMILNADU,13.261402199630618,79.63606699982917
Muli,CHC,GUJARAT,22.632947010447552,71.46442386961313
M N KOTE,CHC,KARNATAKA,13.381599999899072,76.84900000024902
J.C PURA,CHC,KARNATAKA,13.417100000513546,76.35080000036767
EGUVARPALAYAM,CHC,TAMILNADU,13.435971800387374,80.05997339990094
BRAHMAVARA,CHC,KARNATAKA,13.437099999742795,74.74330000081848
Satyavedu,CHC,ANDHRA PRADESH,13.44340259990557,79.9605316999694
GOWNIPALLI,CHC,KARNATAKA,13.505499999999534,78.22670000055541
KOTA,CHC,KARNATAKA,13.52859999974124,74.70240000057996
PANCHANAHALLI,CHC,KARNATAKA,13.55160000019302,76.32869999988733
YAGATI,CHC,KARNATAKA,13.611499999832622,76.14730000015594
Kalikiri,CHC,ANDHRA PRADESH,13.61865629962312,78.79299319998321
SRIRAMPURA,CHC,KARNATAKA,13.623599999867082,76.41599999947185
BELAGURU,CHC,KARNATAKA,13.62949999921752,76.28899999974804
Vayalpadu,CHC,ANDHRA PRADESH,13.634401999900836,78.62488179948504
Piler,CHC,ANDHRA PRADESH,13.6549830998664,78.94446409946222
AJJAMPURA,CHC,KARNATAKA,13.726599999412464,76.00380000041496
KANCHIPURA,CHC,KARNATAKA,13.726699999953109,76.47999999937511
KANNANGI,CHC,KARNATAKA,13.797099999822183,75.369800000082
Thambalapalli,CHC,ANDHRA PRADESH,13.822054000693052,78.44890599991571
GULURU,CHC,KARNATAKA,13.84009999984758,77.83319999990101
BAINDOOR,CHC,KARNATAKA,13.871299999810136,74.62650000014165
Naidupeta,CHC,ANDHRA PRADESH,13.8959880005331,79.88403800026487
HOLEHONNUR,CHC,KARNATAKA,13.988299999789184,75.68620000019887
Vakadu,CHC,ANDHRA PRADESH,14.00253599987906,80.07095300007062
AYANUR,CHC,KARNATAKA,14.013899999544094,75.4328000008009
HOLALURU,CHC,KARNATAKA,14.037000000422289,75.67559999932217
DHARMAPURA,CHC,KARNATAKA,14.065599999573395,76.86049999985266
ANADAPURAM,CHC,KARNATAKA,14.076499999457493,75.21210000006495
Penukonda,CHC,ANDHRA PRADESH,14.084431000315323,77.59732300016911
MARADIHALLI,CHC,KARNATAKA,14.131700000412126,76.52769999927773
Nallamada,CHC,ANDHRA PRADESH,14.141684000280335,77.98314400055223
NYAMATHI,CHC,KARNATAKA,14.149300000016911,75.569699999996
